corp_name,year,repr_code,debt_ratio,op_margin,revenue,sales_growth,debt_ratio_diff,risk_label,target_risk_next_q,sentiment_score
BGF리테일,2018,11011,184.2,3.28,5775862323457.0,515.2813031202712,-44.47,0,1,0.2
BGF리테일,2018,11012,223.7,3.82,1478486428451.0,-74.40232565020544,39.5,1,1,0.2
BGF리테일,2018,11013,228.05,1.98,1316624238207.0,-10.947830641474464,4.350000000000023,1,1,0.2
BGF리테일,2018,11014,207.8,4.26,1539438124605.0,16.92311898354777,-20.25,1,1,0.2
BGF리테일,2019,11011,248.93,3.31,5946068219555.0,286.2492505881446,41.13,1,1,0.2
BGF리테일,2019,11012,285.45,4.02,1516513163619.0,-74.49553036355015,36.51999999999998,1,1,0.2
BGF리테일,2019,11013,314.71,1.95,1349820363725.0,-10.991846552535367,29.25999999999999,1,1,0.2
BGF리테일,2019,11014,262.04,4.1,1582745297652.0,17.255994959522923,-52.66999999999996,1,1,0.2
BGF리테일,2020,11011,240.28,2.62,6181269419288.0,290.54100672154283,-21.76000000000002,1,1,0.2
BGF리테일,2020,11012,261.99,2.88,1549208136886.0,-74.93705529074887,21.710000000000008,1,1,0.2
BGF리테일,2020,11013,270.74,1.33,1393051925176.0,-10.07974383764103,8.75,1,1,0.2
BGF리테일,2020,11014,264.14,3.78,1682728482193.0,20.794383309179377,-6.600000000000023,1,1,0.2
BGF리테일,2021,11011,220.81,2.94,6781161259022.0,302.9860628605107,-43.329999999999984,1,1,0.2
BGF리테일,2021,11012,256.55,3.45,1700416669794.0,-74.92440299171945,35.74000000000001,1,1,0.2
BGF리테일,2021,11013,260.75,1.44,1501235771674.0,-11.713652404038722,4.199999999999989,1,1,0.2
BGF리테일,2021,11014,237.96,3.78,1836557490898.0,22.336379504872102,-22.789999999999992,1,1,0.2
BGF리테일,2022,11011,206.06,3.31,7615769467741.0,314.6763444915196,-31.90000000000001,1,1,0.2
BGF리테일,2022,11012,229.67,3.69,1918580371478.0,-74.80779349211194,23.609999999999985,1,1,0.2
BGF리테일,2022,11013,242.74,2.23,1692224040773.0,-11.798115631227056,13.070000000000022,1,1,0.2
BGF리테일,2022,11014,221.24,4.45,2055724628037.0,21.48064195435697,-21.5,1,0,0.2
BGF리테일,2023,11011,199.6,3.09,8194753978897.0,298.63091909941875,-21.64000000000001,0,1,0.2
BGF리테일,2023,11012,222.37,3.72,2098224064624.0,-74.39552096344426,22.77000000000001,1,1,0.2
BGF리테일,2023,11013,234.96,2.0,1849561501825.0,-11.85109669607951,12.590000000000003,1,1,0.2
BGF리테일,2023,11014,212.57,3.94,2206809870082.0,19.315300837765918,-22.39000000000001,1,0,0.2
BGF리테일,2024,11011,187.35,2.89,8698757469111.0,294.1779301896894,-25.22,0,0,0.2
BGF리테일,2024,11012,198.63,3.46,2202880660591.0,-74.67591586024376,11.28,0,1,0.2
BGF리테일,2024,11013,214.53,1.67,1953820037832.0,-11.30613324700852,15.900000000000006,1,0,0.2
BGF리테일,2024,11014,189.96,3.92,2325582280004.0,19.027455700808304,-24.569999999999997,0,0,0.2
BGF리테일,2025,11011,170.83,2.8,9061216107616.0,289.6321444107501,-19.129999999999995,0,0,0.2
BGF리테일,2025,11012,187.51,3.03,2290149968095.0,-74.72579904401444,16.67999999999998,0,0,0.2
BGF리테일,2025,11013,196.86,1.12,2016470142403.0,-11.950301487009307,9.350000000000025,0,0,0.2
CJ제일제당,2016,11011,160.15,5.79,14563257246000.0,12.679704931813628,4.800000000000011,0,0,0.4
CJ제일제당,2016,11012,159.17,5.83,3609605475000.0,-75.21429846340571,-0.9800000000000182,0,0,0.4
CJ제일제당,2016,11013,160.11,6.59,3534022201000.0,-2.093948342096863,0.940000000000026,0,0,0.4
CJ제일제당,2016,11014,154.98,6.61,3679038311000.0,4.10342951323186,-5.130000000000024,0,0,0.4
CJ제일제당,2017,11011,174.55,4.71,16477174023000.0,347.8663343552228,19.57000000000002,0,0,0.4
CJ제일제당,2017,11012,163.46,4.21,3908894716000.0,-76.27691064897604,-11.090000000000003,0,0,0.4
CJ제일제당,2017,11013,160.55,4.98,3866534180000.0,-1.083696008147994,-2.9099999999999966,0,0,0.4
CJ제일제당,2017,11014,172.43,6.11,4410655290000.0,14.072579852378286,11.879999999999995,0,0,0.4
CJ제일제당,2018,11011,166.78,4.46,18670059989000.0,323.2944712621149,-5.650000000000006,0,0,0.4
CJ제일제당,2018,11012,163.38,4.14,4453748788000.0,-76.14496798283426,-3.4000000000000057,0,0,0.4
CJ제일제당,2018,11013,184.82,4.84,4348588146000.0,-2.361171386301364,21.44,0,0,0.4
CJ제일제당,2018,11014,169.78,5.36,4945574847000.0,13.72828791682954,-15.039999999999992,0,0,0.4
CJ제일제당,2019,11011,177.18,4.01,22352462296000.0,351.9689416804412,7.400000000000006,0,0,0.4
CJ제일제당,2019,11012,185.44,3.18,5515310216000.0,-75.32571515851758,8.259999999999991,0,0,0.4
CJ제일제당,2019,11013,193.83,3.57,5017753362000.0,-9.021375670883936,8.390000000000015,0,0,0.4
CJ제일제당,2019,11014,182.23,4.66,5858111236000.0,16.747691912562356,-11.600000000000025,0,0,0.4
CJ제일제당,2020,11011,151.93,5.61,24245725654000.0,313.88298509939733,-30.299999999999983,0,0,0.4
CJ제일제당,2020,11012,164.08,6.5,5920879356000.0,-75.57969829200312,12.150000000000006,0,0,0.4
CJ제일제당,2020,11013,165.83,4.73,5830942047000.0,-1.5189856707494065,1.75,0,0,0.4
CJ제일제당,2020,11014,160.16,6.34,6342466685000.0,8.77258998420638,-5.670000000000016,0,0,0.4
CJ제일제당,2021,11011,148.51,5.8,26289227767000.0,314.4953229186729,-11.650000000000006,0,0,0.4
CJ제일제당,2021,11012,147.39,7.44,6309217799000.0,-76.00074884314498,-1.1200000000000043,0,0,0.4
CJ제일제당,2021,11013,149.89,6.23,6178109147000.0,-2.0780492317253763,2.5,0,0,0.4
CJ제일제당,2021,11014,150.29,6.32,6854085659000.0,10.941478952799732,0.4000000000000057,0,0,0.4
CJ제일제당,2022,11011,160.33,5.53,30079513121000.0,338.85522617452307,10.04000000000002,0,0,0.4
CJ제일제당,2022,11012,153.15,6.71,7516610595000.0,-75.01086349116375,-7.180000000000007,0,0,0.4
CJ제일제당,2022,11013,151.29,6.24,6979894271000.0,-7.140403473302448,-1.8600000000000136,0,0,0.4
CJ제일제당,2022,11014,153.35,6.04,8011935142000.0,14.785909799349174,2.0600000000000023,0,0,0.4
CJ제일제당,2023,11011,151.33,4.45,29023472909000.0,262.25296878470414,-2.019999999999982,0,0,0.4
CJ제일제당,2023,11012,154.19,4.77,7219425483000.0,-75.12556300331205,2.859999999999985,0,0,0.4
CJ제일제당,2023,11013,159.46,3.57,7071159309000.0,-2.0537115363145064,5.27000000000001,0,0,0.4
CJ제일제당,2023,11014,150.43,5.32,7443449063000.0,5.264904066383558,-9.03,0,0,0.4
CJ제일제당,2024,11011,146.27,5.29,29359081823000.0,294.4284642040278,-4.159999999999997,0,0,0.4
CJ제일제당,2024,11012,149.65,5.3,7238674606000.0,-75.34434268196631,3.3799999999999955,0,0,0.4
CJ제일제당,2024,11013,156.5,5.21,7215960546000.0,-0.3137875541632029,6.849999999999994,0,0,0.4
CJ제일제당,2024,11014,141.4,5.61,7414278491000.0,2.748323577100664,-15.099999999999994,0,0,0.4
CJ제일제당,2025,11011,157.5,4.51,27342589100000.0,268.78287122867664,16.099999999999994,0,0,0.4
CJ제일제당,2025,11012,150.71,4.88,7237175773000.0,-73.53149057489951,-6.789999999999992,0,0,0.4
CJ제일제당,2025,11013,147.11,4.62,7208471055000.0,-0.3966287250765643,-3.5999999999999943,0,0,0.4
DB하이텍,2016,11011,188.6,22.3,773140180180.0,15.983497587216512,-98.97,0,1,0.2
DB하이텍,2016,11012,218.26,23.27,190050596295.0,-75.41835217376065,29.66,1,1,0.2
DB하이텍,2016,11013,259.74,22.14,183876312686.0,-3.248757819952408,41.48000000000002,1,0,0.2
DB하이텍,2016,11014,195.3,23.1,198216789056.0,7.798979738346601,-64.44,0,0,0.2
DB하이텍,2017,11011,118.07,21.07,679737743507.0,242.9264225014568,-77.23000000000002,0,0,0.2
DB하이텍,2017,11012,144.92,25.8,174683070682.0,-74.3014019229313,26.849999999999994,0,0,0.2
DB하이텍,2017,11013,175.51,27.16,190460700050.0,9.032145648917655,30.590000000000003,0,0,0.2
DB하이텍,2017,11014,142.88,20.16,163900331161.0,-13.945327766844995,-32.629999999999995,0,0,0.2
DB하이텍,2018,11011,91.0,16.88,669279136472.0,308.34520084926754,-51.88,0,0,0.2
DB하이텍,2018,11012,106.42,19.47,174061145558.0,-73.99274292703399,15.420000000000002,0,0,0.2
DB하이텍,2018,11013,116.8,9.16,138444868559.0,-20.46193415815023,10.379999999999995,0,0,0.2
DB하이텍,2018,11014,96.04,22.11,183739992151.0,32.71708374853699,-20.75999999999999,0,0,0.2
DB하이텍,2019,11011,68.91,22.45,807416422918.0,339.43423174550605,-27.13000000000001,0,0,0.2
DB하이텍,2019,11012,91.96,23.09,213485073675.0,-73.55948335761295,23.05,0,0,0.2
DB하이텍,2019,11013,93.81,14.02,159579694843.0,-25.25018630298393,1.8500000000000083,0,0,0.2
DB하이텍,2019,11014,75.66,27.79,222319992294.0,39.31596530042627,-18.15000000000001,0,0,0.2
DB하이텍,2020,11011,48.33,25.57,935919766484.0,320.9786788973628,-27.33,0,0,0.2
DB하이텍,2020,11012,52.24,31.89,241651066681.0,-74.18036509808759,3.910000000000004,0,0,0.2
DB하이텍,2020,11013,67.55,28.67,225803046210.0,-6.558224918543698,15.309999999999995,0,0,0.2
DB하이텍,2020,11014,48.09,27.89,240646806647.0,6.5737644757879465,-19.459999999999997,0,0,0.2
DB하이텍,2021,11011,40.13,32.86,1214682040178.0,404.7571821552541,-7.960000000000001,0,0,0.2
